epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.9637,2.20417,5.76495,2.17279,0.37668,0.26521,0.22657,0.08232,1.97854,5.6641,2.05996,0.00328125,0.00328125,0.0704687
2,64.7056,1.93998,2.26447,1.92414,0.43131,0.2518,0.26259,0.09593,1.97882,4.16819,1.99313,0.00648361,0.00648361,0.0403378
3,93.2806,1.92632,2.14497,1.80292,0.35377,0.25899,0.22311,0.09521,1.96453,6.05097,1.91791,0.00955398,0.00955398,0.0100748
4,122.429,1.96367,2.14852,1.84293,0.26603,0.2542,0.18077,0.06743,2.12804,8.85401,2.05694,0.009406,0.009406,0.009406
5,150.45,1.99779,2.08814,1.81973,0.23991,0.26859,0.13185,0.04588,2.15659,37.257,2.071,0.009208,0.009208,0.009208
6,178.604,1.97892,2.14353,1.86215,0.44158,0.3741,0.34601,0.14467,2.00754,4.36175,1.91903,0.00901,0.00901,0.00901
7,206.621,1.93828,2.0763,1.82433,0.50835,0.44365,0.42881,0.1916,1.95207,4.8267,1.88944,0.008812,0.008812,0.008812
8,235.05,1.92976,1.95977,1.8315,0.60381,0.39329,0.43557,0.18364,2.00793,5.619,1.91157,0.008614,0.008614,0.008614
9,262.752,1.91757,2.05728,1.83656,0.44654,0.34293,0.33023,0.12233,2.02644,5.07975,1.88945,0.008416,0.008416,0.008416
10,290.12,1.90445,1.96571,1.82363,0.47429,0.38609,0.37302,0.14823,1.88976,4.33891,1.78516,0.008218,0.008218,0.008218
11,317.111,1.86373,1.79015,1.77459,0.58366,0.47962,0.47272,0.21257,1.82453,2.30777,1.77446,0.00802,0.00802,0.00802
12,344.946,1.83869,1.73352,1.73161,0.54753,0.35012,0.38979,0.18168,1.91769,3.32759,1.87689,0.007822,0.007822,0.007822
13,372.625,1.86388,1.78562,1.78126,0.6166,0.5036,0.53458,0.21304,1.94656,2.41641,1.87468,0.007624,0.007624,0.007624
14,400.376,1.78433,1.69547,1.74439,0.60612,0.45564,0.47508,0.21872,1.88587,4.76534,1.89326,0.007426,0.007426,0.007426
15,429.421,1.7941,1.68005,1.71367,0.62273,0.43405,0.50804,0.21834,1.94349,3.05493,1.82374,0.007228,0.007228,0.007228
16,458.003,1.78928,1.65804,1.73116,0.6881,0.53435,0.61633,0.28504,1.74937,3.03397,1.71019,0.00703,0.00703,0.00703
17,486.033,1.7293,1.56711,1.67362,0.67177,0.46043,0.55031,0.25015,1.74496,2.62392,1.69243,0.006832,0.006832,0.006832
18,513.887,1.699,1.55445,1.67532,0.66327,0.56683,0.61692,0.29538,1.65701,2.70394,1.65705,0.006634,0.006634,0.006634
19,542.145,1.74493,1.53308,1.68666,0.62452,0.51559,0.57727,0.27373,1.71436,2.41326,1.67036,0.006436,0.006436,0.006436
20,569.829,1.69555,1.47708,1.669,0.74529,0.57554,0.64989,0.31163,1.71964,3.32485,1.68127,0.006238,0.006238,0.006238
21,597.881,1.6843,1.49171,1.65599,0.71241,0.51799,0.61246,0.29717,1.76583,2.19587,1.71982,0.00604,0.00604,0.00604
22,626.202,1.65915,1.43168,1.63914,0.73278,0.58527,0.67452,0.3195,1.73657,3.23493,1.69457,0.005842,0.005842,0.005842
23,653.861,1.62617,1.39341,1.64617,0.68535,0.60671,0.66557,0.33392,1.62859,1.95191,1.59299,0.005644,0.005644,0.005644
24,681.29,1.63281,1.34043,1.5935,0.72506,0.56115,0.63112,0.30018,1.67099,1.55695,1.64505,0.005446,0.005446,0.005446
25,709.792,1.60833,1.32485,1.6001,0.72628,0.55396,0.65069,0.33174,1.66666,2.28537,1.62699,0.005248,0.005248,0.005248
26,738.153,1.5768,1.31975,1.58546,0.74665,0.60671,0.67665,0.33124,1.65082,3.44988,1.63812,0.00505,0.00505,0.00505
27,766.796,1.62455,1.32791,1.60079,0.74028,0.6211,0.71357,0.34513,1.65621,2.21246,1.61902,0.004852,0.004852,0.004852
28,795.535,1.55376,1.25764,1.54396,0.79625,0.64269,0.73233,0.36197,1.6064,1.72833,1.57613,0.004654,0.004654,0.004654
29,824.494,1.57511,1.26455,1.57658,0.72623,0.61631,0.68251,0.33375,1.58607,2.24029,1.55918,0.004456,0.004456,0.004456
30,854.258,1.55742,1.27272,1.56699,0.78192,0.63627,0.72184,0.36722,1.60569,1.66703,1.56907,0.004258,0.004258,0.004258
31,882.561,1.51796,1.22321,1.52862,0.7434,0.63221,0.68997,0.33718,1.64124,1.51725,1.58873,0.00406,0.00406,0.00406
32,910.459,1.50908,1.1745,1.51868,0.76161,0.65121,0.71287,0.35464,1.61167,1.42518,1.57161,0.003862,0.003862,0.003862
33,938.985,1.48881,1.15837,1.51419,0.79718,0.65035,0.74935,0.38002,1.59208,1.6678,1.54987,0.003664,0.003664,0.003664
34,967.132,1.48917,1.14915,1.49637,0.77255,0.68825,0.75482,0.39485,1.61757,1.51957,1.56764,0.003466,0.003466,0.003466
35,995.387,1.43203,1.10086,1.43901,0.83603,0.63581,0.7538,0.4016,1.55845,1.33062,1.54852,0.003268,0.003268,0.003268
36,1023.19,1.43882,1.11702,1.46452,0.8451,0.66727,0.77356,0.42022,1.57367,1.54421,1.55106,0.00307,0.00307,0.00307
37,1051.01,1.40413,1.09429,1.4431,0.81782,0.69065,0.77284,0.41016,1.58964,1.61108,1.52565,0.002872,0.002872,0.002872
38,1079.01,1.43725,1.06466,1.44888,0.87235,0.64988,0.75791,0.4038,1.52748,1.35122,1.50567,0.002674,0.002674,0.002674
39,1106.95,1.3676,1.03435,1.42354,0.81212,0.70264,0.79361,0.42247,1.56526,1.18573,1.5254,0.002476,0.002476,0.002476
40,1134.86,1.40452,1.02712,1.45701,0.83441,0.67671,0.77044,0.41295,1.54604,1.37663,1.53186,0.002278,0.002278,0.002278
41,1162.95,1.28322,0.77158,1.40419,0.78303,0.69238,0.76588,0.416,1.53993,1.42968,1.51909,0.00208,0.00208,0.00208
42,1188.71,1.2326,0.74003,1.37655,0.79022,0.67626,0.76448,0.4057,1.56187,1.39228,1.536,0.001882,0.001882,0.001882
43,1213.31,1.2083,0.69559,1.3483,0.92467,0.61813,0.77677,0.42076,1.51082,1.08782,1.51192,0.001684,0.001684,0.001684
44,1239.33,1.18093,0.65337,1.33161,0.85603,0.67386,0.77547,0.40944,1.5373,1.18891,1.54755,0.001486,0.001486,0.001486
45,1264.78,1.17361,0.63805,1.33041,0.83009,0.67949,0.77406,0.41888,1.51201,1.25936,1.51957,0.001288,0.001288,0.001288
46,1288.97,1.12451,0.62079,1.29257,0.84866,0.68585,0.78868,0.42915,1.4854,1.03681,1.49879,0.00109,0.00109,0.00109
